"id","comment_content","game_id","user_id"
1,Game is good.,1,1
2,Game is great,2,1
3,Game is awesome!,3,1
4,Game sucks!,4,2
5,What a Dark Souls rip-off!,21,1
6,Game is hard!,10,2
7,Assassin's Creed has lost its way,14,2
8,Good port from the PS4.,3,2
9,PRAISE THE SUN!,41,2
10,I play this game for the plot.,23,3
11,The last great game from EA.,20,3
12,"What is this, 2D Dark Souls??!",9,3
13,John Wick if he had a cyber arm.,26,3
14,Look ma I'm robbing a bank!,28,4
15,The best focking game I've ever played!,1,4
16,Why does this guy look like every Spider-Man actor combine?,5,4
17,"I got to fight giant mechanical dinosaurs, 10/10.",3,4
18,The worst port Naughty Dog has ever made!,4,5
19,BOIIIIIIIIIIIIIIIIIIIIIIII,2,5
20,I bought this just to see Aerith got donut in 4k.,39,5
21,I FEEL MOTIVATED,7,5
22,LEON YOU MUST CONTINUE THE REDFIELD BLOODLINE!,46,5
23,CHOKE ME HARDER MAMA DIMITRESCU!,8,6
24,Barb wire baseball bat go brrrrrr,11,6
25,GOMU GOMU NO EAT SH*T **********,33,6
26,"I came here to play video game, not to feel depressed wtf Rockstar??!",29,6
27,Aloy's dad literally went out to buy milk and never came back.,3,7
28,PARRY THIS YOU F**KING CASUAL!,21,7
29,"Buy the game expecting to watch dogs. No dog in the game, 0/10.",13,7
30,Dong Zhou literally got NTR by his adopted son.,22,7
31,I smash random buttons with Eddy Gordo and win. Definitely would Eddy Gordo again.,32,7
32,TEAM TRISS FTW!,25,8
33,Who let the onion-cutting ninjas in??!,37,8
34,There's a kingdom need saving and here I am playing Gwent with Ciri.,27,8
35,SLOW MO BULLETS GO BRRRRRRRRRRRR,30,8
36,"Dont be sorry, be better boi.",2,9
37,Nathan please give me your seed.,1,9
38,"A Dead or Alive game without fighting, weird.",23,9
39,ChatGPT if they went sentient.,35,10
40,Ooooooo scary.,36,10
41,Typically American dream.,16,10
42,^#$%#$%%$&%^*%^&%^&(**!#$#,41,11
43,Ivy can penetrate me with her sword anytime.,31,11
44,Somehow a 2D game is better than all these 3D AAA games.,40,11
45,How is a Viking also an assassin??!,14,12
46,The last of us? More the like the last of my pc after it finishes compiling these textures.,4,12
47,Stop feeding us the same game every year EA.,17,12
48,Unexpected good game.,34,13
49,Sephiroth looks like he can be my sugar daddy.,39,13
50,TEAM YENNEFER!,25,13
51,"My name is commander Shepard, and this is my favorite store on the Citadel.",19,14
52,Changing pants simulator.,18,14
53,Easy game.,9,14
54,Ashley is no longer useless.,46,15
55,The jiggling physics in this game is weird.,25,15
56,A gun in ancient history time? Count me in.,10,15
57,"Max no longer has hair, 0 hair/10.",30,15
58,Like.,34,16
59,"No uncle Ben, no aunt May, just Miles being a chad.",6,16
60,RESPAWN MAKE TITAN FALL 3 PLEASE!!!!!,20,16
61,"This game gave me anxiety, now I'm afraid im gonna make Alexa mad and at night she will choke me to death with a pillow.",35,16
62,SUPLEX CITY,46,17
63,"If i got put into a castle with a THICC AF mama and her 3 vampire daughters, i wouldn't complain.",8,17
64,Isaac Clarke looks like Adam Sandler now and I'm not okay with it.,18,17
65,"Loudsy PC port, poor customization.",22,18
66,I have to consult a therapist after finishing this game.,36,18
67,Vergil best dad.,7,18
68,BRING BACK JACKIE RIGHT NOW,26,19
69,I must go to the gym at this very moment to look like Chris Redfield.,8,19
70,Weeb game,38,19
80,Trevor looks like my long lost father.,28,20
81,Go back to 2D Mega Man please.,9,20
82,Game nhái phi phai.,45,20
83,Spider-Man on crack.,44,21
84,Better than PES.,17,22
85,PC gaming at its peak.,29,22
86,If you kill the turtle pope you're a terrible person.,42,22
87,Why does the bad guy keep licking himself,21,22
88,Why does Dante keep looking better the more he age,7,23
89,Vordo is a creep.,31,23
90,Zorro got lost again.,33,23
91,"No nuke, 0/10.",15,23
92,Please don't reboot the Uncharted series.,1,24
93,Technical issues make this game completely unplayble.,4,24
94,Hey at least we can cosplay Thor by wielding his hammer.,14,24
95,HACKERMAN,13,18
96,Press X to struggle.,46,19
97,Cloud in a dress is my wet dream.,39,21
98,How can a guy have too many nukes and the US government still lets him live??!,16,21
99,Game is a mess.,45,8
