"id","user_id","game_id","comment_content","comment_date"
1,1,1,Game is good.,2023-04-22
2,1,2,Game is great,2023-03-26
3,1,3,Game is awesome!,2023-02-27
4,2,4,Game sucks!,2023-03-17
5,1,21,What a Dark Souls rip-off!,2023-01-10
6,2,10,Game is hard!,2023-01-01
7,2,14,Assassin's Creed has lost its way,2023-01-29
8,2,3,Good port from the PS4.,2023-03-15
9,2,41,PRAISE THE SUN!,2023-02-09
10,3,23,I play this game for the plot.,2023-04-04
11,3,20,The last great game from EA.,2023-02-27
12,3,9,"What is this, 2D Dark Souls??!",2023-02-15
13,3,26,John Wick if he had a cyber arm.,2023-05-01
14,4,28,Look ma I'm robbing a bank!,2023-01-07
15,4,1,The best focking game I've ever played!,2023-04-14
16,4,5,Why does this guy look like every Spider-Man actor combine?,2023-01-02
17,4,3,"I got to fight giant mechanical dinosaurs, 10/10.",2023-03-10
18,5,4,The worst port Naughty Dog has ever made!,2023-05-09
19,5,2,BOIIIIIIIIIIIIIIIIIIIIIIII,2023-01-28
20,5,39,I bought this just to see Aerith got donut in 4k.,2023-04-16
21,5,7,I FEEL MOTIVATED,2023-01-13
22,5,46,LEON YOU MUST CONTINUE THE REDFIELD BLOODLINE!,2023-03-06
23,6,8,CHOKE ME HARDER MAMA DIMITRESCU!,2023-04-21
24,6,11,Barb wire baseball bat go brrrrrr,2023-01-18
25,6,33,GOMU GOMU NO EAT SH*T **********,2023-04-13
26,6,29,"I came here to play video game, not to feel depressed wtf Rockstar??!",2023-03-03
27,7,3,Aloy's dad literally went out to buy milk and never came back.,2023-01-01
28,7,21,PARRY THIS YOU F**KING CASUAL!,2023-01-07
29,7,13,"Buy the game expecting to watch dogs. No dog in the game, 0/10.",2023-01-05
30,7,22,Dong Zhou literally got NTR by his adopted son.,2023-02-22
31,7,32,I smash random buttons with Eddy Gordo and win. Definitely would Eddy Gordo again.,2023-05-22
32,8,25,TEAM TRISS FTW!,2023-03-06
33,8,37,Who let the onion-cutting ninjas in??!,2023-02-08
34,8,27,There's a kingdom need saving and here I am playing Gwent with Ciri.,2023-01-24
35,8,30,SLOW MO BULLETS GO BRRRRRRRRRRRR,2023-04-16
36,9,2,"Dont be sorry, be better boi.",2023-02-26
37,9,1,Nathan please give me your seed.,2023-03-27
38,9,23,"A Dead or Alive game without fighting, weird.",2023-03-04
39,10,35,ChatGPT if they went sentient.,2023-03-30
40,10,36,Ooooooo scary.,2023-01-26
41,10,16,Typically American dream.,2023-05-06
42,11,41,^#$%#$%%$&%^*%^&%^&**!#$#,2023-02-07
43,11,31,Ivy can penetrate me with her sword anytime.,2023-01-15
44,11,40,Somehow a 2D game is better than all these 3D AAA games.,2023-03-31
45,12,14,How is a Viking also an assassin??!,2023-01-15
46,12,4,The last of us? More the like the last of my pc after it finishes compiling these textures.,2023-01-05
47,12,17,Stop feeding us the same game every year EA.,2023-02-22
48,13,34,Unexpected good game.,2023-03-29
49,13,39,Sephiroth looks like he can be my sugar daddy.,2023-02-13
50,13,25,TEAM YENNEFER!,2023-05-05
51,14,19,"My name is commander Shepard, and this is my favorite store on the Citadel.",2023-02-04
52,14,18,Changing pants simulator.,2023-03-24
53,14,9,Easy game.,2023-01-18
54,15,46,Ashley is no longer useless.,2023-04-30
55,15,25,The jiggling physics in this game is weird.,2023-03-13
56,15,10,A gun in ancient history time? Count me in.,2023-03-31
57,15,30,"Max no longer has hair, 0 hair/10.",2023-02-25
58,16,34,Like.,2023-01-16
59,16,6,"No uncle Ben, no aunt May, just Miles being a chad.",2023-04-10
60,16,20,RESPAWN MAKE TITAN FALL 3 PLEASE!!!!!,2023-02-13
61,16,35,"This game gave me anxiety, now I'm afraid im gonna make Alexa mad and at night she will choke me to death with a pillow.",2023-03-11
62,17,46,SUPLEX CITY,2023-02-18
63,17,8,"If i got put into a castle with a THICC AF mama and her 3 vampire daughters, i wouldn't complain.",2023-03-11
64,17,18,Isaac Clarke looks like Adam Sandler now and I'm not okay with it.,2023-03-28
65,18,22,"Loudsy PC port, poor customization.",2023-01-16
66,18,36,I have to consult a therapist after finishing this game.,2023-03-03
67,18,7,Vergil best dad.,2023-04-10
68,19,26,BRING BACK JACKIE RIGHT NOW,2023-04-24
69,19,8,I must go to the gym at this very moment to look like Chris Redfield.,2023-02-12
70,19,38,Weeb game,2023-02-25
71,20,28,Trevor looks like my long lost father.,2023-02-07
72,20,9,Go back to 2D Mega Man please.,2023-02-19
73,20,45,Game nhái phi phai.,2023-02-22
74,21,44,Spider-Man on crack.,2023-01-29
75,22,17,Better than PES.,2023-01-07
76,22,29,PC gaming at its peak.,2023-04-06
77,22,42,If you kill the turtle pope you're a terrible person.,2023-05-01
78,22,21,Why does the bad guy keep licking himself,2023-03-03
79,23,7,Why does Dante keep looking better the more he age,2023-02-05
80,23,31,Vordo is a creep.,2023-01-14
81,23,33,Zorro got lost again.,2023-01-03
82,23,15,"No nuke, 0/10.",2023-04-09
83,24,1,Please don't reboot the Uncharted series.,2023-02-26
84,24,4,Technical issues make this game completely unplayble.,2023-01-26
85,24,14,Hey at least we can cosplay Thor by wielding his hammer.,2023-03-26
86,18,13,HACKERMAN,2023-01-21
87,19,46,Press X to struggle.,2023-02-10
88,21,39,Cloud in a dress is my wet dream.,2023-04-02
89,21,16,How can a guy have too many nukes and the US government still lets him live??!,2023-02-23
